  0.00000000   -9.43666187   0.89100
  0.01086068   -9.43473596   0.89200
  0.02172137   -9.42881660   0.89400
  0.03258205   -9.41956708   0.89700
  0.04344273   -9.40292027   0.90000
  0.05430341   -9.38333775   0.90300
  0.06516410   -9.35874363   0.90700
  0.07602478   -9.34547966   0.90100
  0.08688547   -9.42273933   0.89700
  0.09774615   -9.50421921   0.89300
  0.10860683   -9.58733751   0.88900
  0.11946751   -9.67086786   0.88400
  0.13032820   -9.75291706   0.88100
  0.14118888   -9.83242954   0.87700
  0.15204957   -9.90446238   0.87400
  0.16291025   -9.96761894   0.87200
  0.17377093  -10.01951329   0.87000
  0.18463161  -10.05811606   0.86900
  0.19549230  -10.08190973   0.86800
  0.20635298  -10.08995270   0.86800
  0.20635298  -10.08995270   0.86800
  0.21965455  -10.08469009   0.86800
  0.23295611  -10.06912315   0.86700
  0.24625768  -10.04360668   0.86700
  0.25955925  -10.00249026   0.86500
  0.27286081   -9.96117565   0.86400
  0.28616238   -9.91288131   0.86100
  0.29946394   -9.85959074   0.85800
  0.31276551   -9.80395516   0.85200
  0.32606708   -9.74984396   0.84200
  0.33936864   -9.70666292   0.82500
  0.35267020   -9.67825631   0.79600
  0.36597177   -9.68400905   0.74800
  0.37927334   -9.74352479   0.68700
  0.39257490   -9.85773429   0.64000
  0.40587647   -9.99520423   0.61800
  0.41917804  -10.12280241   0.61100
  0.43247960  -10.22182830   0.60900
  0.44578117  -10.28369528   0.60800
  0.45908273  -10.30463133   0.60800
  0.45908273  -10.30463133   0.60800
  0.47444206  -10.27665980   0.60800
  0.48980139  -10.19340264   0.60900
  0.50516071  -10.05763064   0.61000
  0.52052004   -9.87544643   0.61300
  0.53587936   -9.66091188   0.62300
  0.55123869   -9.44601315   0.65100
  0.56659801   -9.38476363   0.93200
  0.58195734   -9.47710106   0.92800
  0.59731667   -9.57179618   0.92500
  0.61267599   -9.66419739   0.92200
  0.62803531   -9.75613011   0.91900
  0.64339464   -9.84287506   0.91600
  0.65875396   -9.92231423   0.91400
