 -11.00000  0.1105E-24
 -10.94571  0.2011E-21
 -10.89143  0.2033E-18
 -10.83714  0.1144E-15
 -10.78286  0.3591E-13
 -10.72857  0.6320E-11
 -10.67429  0.6294E-09
 -10.62000  0.3602E-07
 -10.56571  0.1216E-05
 -10.51143  0.2515E-04
 -10.45714  0.3330E-03
 -10.40286  0.2928E-02
 -10.34857  0.1750E-01
 -10.29429  0.7274E-01
 -10.24000  0.2184E+00
 -10.18571  0.4975E+00
 -10.13143  0.9015E+00
 -10.07714  0.1364E+01
 -10.02286  0.1828E+01
  -9.96857  0.2295E+01
  -9.91429  0.2812E+01
  -9.86000  0.3389E+01
  -9.80571  0.3916E+01
  -9.75143  0.4221E+01
  -9.69714  0.4257E+01
  -9.64286  0.4140E+01
  -9.58857  0.3963E+01
  -9.53429  0.3714E+01
  -9.48000  0.3368E+01
  -9.42571  0.3046E+01
  -9.37143  0.2983E+01
  -9.31714  0.3326E+01
  -9.26286  0.3997E+01
  -9.20857  0.4594E+01
  -9.15429  0.4652E+01
  -9.10000  0.4244E+01
  -9.04571  0.3835E+01
  -8.99143  0.3652E+01
  -8.93714  0.3650E+01
  -8.88286  0.3813E+01
  -8.82857  0.4100E+01
  -8.77429  0.4255E+01
  -8.72000  0.4116E+01
  -8.66571  0.3815E+01
  -8.61143  0.3478E+01
  -8.55714  0.3167E+01
  -8.50286  0.3070E+01
  -8.44857  0.3351E+01
  -8.39429  0.3847E+01
  -8.34000  0.4189E+01
  -8.28571  0.4268E+01
  -8.23143  0.4248E+01
  -8.17714  0.4226E+01
  -8.12286  0.4101E+01
  -8.06857  0.3837E+01
  -8.01429  0.3585E+01
  -7.96000  0.3431E+01
  -7.90571  0.3354E+01
  -7.85143  0.3317E+01
  -7.79714  0.3329E+01
  -7.74286  0.3482E+01
  -7.68857  0.3822E+01
  -7.63429  0.4291E+01
  -7.58000  0.4655E+01
  -7.52571  0.4517E+01
  -7.47143  0.3764E+01
  -7.41714  0.2736E+01
  -7.36286  0.1757E+01
  -7.30857  0.9439E+00
  -7.25429  0.4059E+00
  -7.20000  0.1809E+00
  -7.14571  0.1554E+00
  -7.09143  0.1784E+00
  -7.03714  0.1738E+00
  -6.98286  0.1502E+00
  -6.92857  0.1359E+00
  -6.87429  0.1353E+00
  -6.82000  0.1457E+00
  -6.76571  0.1665E+00
  -6.71143  0.1819E+00
  -6.65714  0.1775E+00
  -6.60286  0.1557E+00
  -6.54857  0.1285E+00
  -6.49429  0.1209E+00
  -6.44000  0.1501E+00
  -6.38571  0.1907E+00
  -6.33143  0.2023E+00
  -6.27714  0.1831E+00
  -6.22286  0.1596E+00
  -6.16857  0.1511E+00
  -6.11429  0.1555E+00
  -6.06000  0.1585E+00
  -6.00571  0.1604E+00
  -5.95143  0.1747E+00
  -5.89714  0.1941E+00
  -5.84286  0.1957E+00
  -5.78857  0.1758E+00
  -5.73429  0.1578E+00
  -5.68000  0.1567E+00
  -5.62571  0.1707E+00
  -5.57143  0.1970E+00
  -5.51714  0.2137E+00
  -5.46286  0.2034E+00
  -5.40857  0.1812E+00
  -5.35429  0.1690E+00
  -5.30000  0.1713E+00
  -5.24571  0.1775E+00
  -5.19143  0.1784E+00
  -5.13714  0.1804E+00
  -5.08286  0.1980E+00
  -5.02857  0.2209E+00
  -4.97429  0.2244E+00
  -4.92000  0.2081E+00
  -4.86571  0.1899E+00
  -4.81143  0.1820E+00
  -4.75714  0.1810E+00
  -4.70286  0.1871E+00
  -4.64857  0.2080E+00
  -4.59429  0.2202E+00
  -4.54000  0.2078E+00
  -4.48571  0.1983E+00
  -4.43143  0.2058E+00
  -4.37714  0.2153E+00
  -4.32286  0.2126E+00
  -4.26857  0.2051E+00
  -4.21429  0.2075E+00
  -4.16000  0.2190E+00
  -4.10571  0.2259E+00
  -4.05143  0.2242E+00
  -3.99714  0.2251E+00
  -3.94286  0.2292E+00
  -3.88857  0.2226E+00
  -3.83429  0.2054E+00
  -3.78000  0.1948E+00
  -3.72571  0.2017E+00
  -3.67143  0.2225E+00
  -3.61714  0.2406E+00
  -3.56286  0.2439E+00
  -3.50857  0.2465E+00
  -3.45429  0.2525E+00
  -3.40000  0.2467E+00
  -3.34571  0.2335E+00
  -3.29143  0.2189E+00
  -3.23714  0.2121E+00
  -3.18286  0.2300E+00
  -3.12857  0.2519E+00
  -3.07429  0.2448E+00
  -3.02000  0.2283E+00
  -2.96571  0.2369E+00
  -2.91143  0.2563E+00
  -2.85714  0.2622E+00
  -2.80286  0.2539E+00
  -2.74857  0.2422E+00
  -2.69429  0.2364E+00
  -2.64000  0.2392E+00
  -2.58571  0.2566E+00
  -2.53143  0.2764E+00
  -2.47714  0.2822E+00
  -2.42286  0.2803E+00
  -2.36857  0.2696E+00
  -2.31429  0.2492E+00
  -2.26000  0.2397E+00
  -2.20571  0.2392E+00
  -2.15143  0.2422E+00
  -2.09714  0.2678E+00
  -2.04286  0.3026E+00
  -1.98857  0.3069E+00
  -1.93429  0.2834E+00
  -1.88000  0.2654E+00
  -1.82571  0.2711E+00
  -1.77143  0.2943E+00
  -1.71714  0.3019E+00
  -1.66286  0.2766E+00
  -1.60857  0.2478E+00
  -1.55429  0.2433E+00
  -1.50000  0.2642E+00
  -1.44571  0.2914E+00
  -1.39143  0.3022E+00
  -1.33714  0.2931E+00
  -1.28286  0.2714E+00
  -1.22857  0.2622E+00
  -1.17429  0.2884E+00
  -1.12000  0.3270E+00
  -1.06571  0.3480E+00
  -1.01143  0.3572E+00
  -0.95714  0.3624E+00
