 -10.00000  0.9241E-11  0.9196E-11  0.4443E-13  0.4069E-25
  -9.95571  0.4053E-09  0.4034E-09  0.1949E-11  0.1563E-22
  -9.91143  0.1201E-07  0.1195E-07  0.5775E-10  0.4057E-20
  -9.86714  0.2404E-06  0.2393E-06  0.1156E-08  0.7114E-18
  -9.82286  0.3252E-05  0.3237E-05  0.1565E-07  0.8426E-16
  -9.77857  0.2973E-04  0.2959E-04  0.1432E-06  0.6742E-14
  -9.73429  0.1839E-03  0.1830E-03  0.8887E-06  0.3644E-12
  -9.69000  0.7714E-03  0.7676E-03  0.3768E-05  0.1331E-10
  -9.64571  0.2213E-02  0.2202E-02  0.1114E-04  0.3282E-09
  -9.60143  0.4444E-02  0.4420E-02  0.2421E-04  0.5469E-08
  -9.55714  0.6627E-02  0.6584E-02  0.4312E-04  0.6156E-07
  -9.51286  0.8286E-02  0.8214E-02  0.7197E-04  0.4681E-06
  -9.46857  0.1015E-01  0.1003E-01  0.1207E-03  0.2405E-05
  -9.42429  0.1330E-01  0.1310E-01  0.2037E-03  0.8345E-05
  -9.38000  0.1809E-01  0.1776E-01  0.3275E-03  0.1957E-04
  -9.33571  0.2241E-01  0.2197E-01  0.4423E-03  0.3104E-04
  -9.29143  0.2196E-01  0.2151E-01  0.4517E-03  0.3369E-04
  -9.24714  0.1630E-01  0.1595E-01  0.3552E-03  0.2715E-04
  -9.20286  0.1172E-01  0.1139E-01  0.3152E-03  0.2453E-04
  -9.15857  0.1442E-01  0.1388E-01  0.4976E-03  0.3926E-04
  -9.11429  0.2339E-01  0.2245E-01  0.8704E-03  0.6976E-04
  -9.07000  0.3164E-01  0.3032E-01  0.1213E-02  0.1012E-03
  -9.02571  0.3463E-01  0.3312E-01  0.1387E-02  0.1256E-03
  -8.98143  0.3435E-01  0.3274E-01  0.1464E-02  0.1493E-03
  -8.93714  0.3353E-01  0.3184E-01  0.1528E-02  0.1769E-03
  -8.89286  0.3223E-01  0.3049E-01  0.1558E-02  0.2024E-03
  -8.84857  0.2888E-01  0.2725E-01  0.1461E-02  0.2059E-03
  -8.80429  0.2240E-01  0.2108E-01  0.1173E-02  0.1736E-03
  -8.76000  0.1647E-01  0.1543E-01  0.9256E-03  0.1426E-03
  -8.71571  0.1868E-01  0.1733E-01  0.1181E-02  0.1888E-03
  -8.67143  0.3147E-01  0.2906E-01  0.2094E-02  0.3402E-03
  -8.62714  0.4658E-01  0.4295E-01  0.3144E-02  0.5244E-03
  -8.58286  0.5317E-01  0.4893E-01  0.3638E-02  0.6454E-03
  -8.53857  0.5074E-01  0.4653E-01  0.3562E-02  0.6977E-03
  -8.49429  0.4789E-01  0.4367E-01  0.3505E-02  0.7522E-03
  -8.45000  0.4954E-01  0.4494E-01  0.3783E-02  0.8416E-03
  -8.40571  0.5020E-01  0.4540E-01  0.3933E-02  0.8778E-03
  -8.36143  0.4227E-01  0.3815E-01  0.3360E-02  0.7606E-03
  -8.31714  0.2968E-01  0.2668E-01  0.2415E-02  0.5931E-03
  -8.27286  0.2378E-01  0.2115E-01  0.2038E-02  0.5893E-03
  -8.22857  0.2737E-01  0.2414E-01  0.2464E-02  0.7609E-03
  -8.18429  0.3420E-01  0.3007E-01  0.3185E-02  0.9367E-03
  -8.14000  0.4180E-01  0.3663E-01  0.4042E-02  0.1101E-02
  -8.09571  0.5425E-01  0.4733E-01  0.5425E-02  0.1456E-02
  -8.05143  0.7122E-01  0.6188E-01  0.7251E-02  0.2050E-02
  -8.00714  0.8185E-01  0.7090E-01  0.8396E-02  0.2528E-02
