   8.83957  -7.73747
   8.96316  -7.79117
   9.08676  -7.84086
   9.21035  -7.88675
   9.33394  -7.92903
   9.45753  -7.96787
   9.58113  -8.00345
   9.70472  -8.03592
   9.82831  -8.06544
   9.95191  -8.09214
  10.07550  -8.11618
  10.19909  -8.13766
  10.32269  -8.15672
  10.44628  -8.17348
  10.56987  -8.18803
  10.69346  -8.20049
  10.81706  -8.21095
  10.94065  -8.21952
  11.06424  -8.22627
  11.18784  -8.23130
  11.31143  -8.23468
  11.43502  -8.23649
  11.55861  -8.23681
  11.68221  -8.23570
  11.80580  -8.23324
  11.92939  -8.22948
  12.05299  -8.22449
  12.17658  -8.21832
  12.30017  -8.21103
  12.42377  -8.20267
  12.54736  -8.19329
  12.67095  -8.18295
  12.79454  -8.17168
  12.91814  -8.15952
  13.04173  -8.14653
  13.16532  -8.13274
  13.28892  -8.11819
  13.41251  -8.10291
  13.53610  -8.08694
  13.65970  -8.07032
  13.78329  -8.05307
  13.90688  -8.03522
  14.03047  -8.01681
  14.15407  -7.99787
  14.27766  -7.97841
  14.40125  -7.95847
  14.52485  -7.93806
  14.64844  -7.91722
  14.77203  -7.89597
  14.89562  -7.87432
