  10.99583 -11.96567
  11.15647 -12.17761
  11.31710 -12.37469
  11.47774 -12.55771
  11.63837 -12.72746
  11.79900 -12.88466
  11.95964 -13.02999
  12.12027 -13.16411
  12.28091 -13.28760
  12.44154 -13.40105
  12.60218 -13.50499
  12.76281 -13.59992
  12.92345 -13.68633
  13.08408 -13.76466
  13.24472 -13.83533
  13.40535 -13.89876
  13.56598 -13.95532
  13.72662 -14.00537
  13.88725 -14.04924
  14.04789 -14.08726
  14.20852 -14.11973
  14.36916 -14.14694
  14.52979 -14.16916
  14.69043 -14.18665
  14.85106 -14.19966
  15.01170 -14.20841
  15.17233 -14.21313
  15.33296 -14.21402
  15.49360 -14.21128
  15.65423 -14.20511
  15.81487 -14.19567
  15.97550 -14.18314
  16.13614 -14.16769
  16.29677 -14.14945
  16.45741 -14.12859
  16.61804 -14.10523
  16.77868 -14.07951
  16.93931 -14.05156
  17.09994 -14.02149
  17.26058 -13.98942
  17.42121 -13.95545
  17.58185 -13.91969
  17.74248 -13.88224
  17.90312 -13.84319
  18.06375 -13.80262
  18.22439 -13.76063
  18.38502 -13.71730
  18.54566 -13.67270
  18.70629 -13.62690
  18.86692 -13.57997
